"","year","month","Precipitation_(mm/h)","Temperature_(C)","Wind_Speed_m/s","Wind_Direction_Degrees","Relative_Humidity_(%)","Date"
"1",2019,1,1,23.9324324324324,NA,NA,83.8833333333333,2019-01-01
"2",2019,2,0,25.875,NA,NA,82.4357142857143,2019-02-01
"3",2019,3,0.3,24.1903225806452,NA,NA,84.5935483870968,2019-03-01
"4",2019,4,0.4,22.4083333333333,NA,NA,86.0166666666667,2019-04-01
"5",2019,5,4.4,19.5225806451613,NA,NA,88.7838709677419,2019-05-01
"6",2019,6,5.7,16.925,NA,NA,91.97,2019-06-01
"7",2019,7,3.9,16.1225806451613,NA,NA,92.0258064516129,2019-07-01
"8",2019,8,3.2,15.0081989247312,2.04905913978495,219.748655913978,88.377688172043,2019-08-01
"9",2019,9,2.7,15.7913888888889,2.40875,217.554166666667,87.6569444444444,2019-09-01
"10",2019,10,1,16.6646505376344,2.47930107526882,216.987903225806,84.2809139784946,2019-10-01
"11",2019,11,0.4,18.842119944212,2.75746164574616,214.698744769874,82.6917712691771,2019-11-01
"12",2019,12,0.5,20.7453566621803,2.57738896366083,217.837146702557,82.4454912516824,2019-12-01
"13",2020,1,0.4,23.0034161490683,2.52434108527132,219.62480620155,80.553488372093,2020-01-01
"14",2020,2,0,23.7110632183908,2.49123563218391,213.853448275862,80.7686781609195,2020-02-01
"15",2020,3,0,23.8702956989247,2.44247311827957,214.69623655914,77.8051075268817,2020-03-01
"16",2020,4,0,21.9469476744186,2.23704245973646,217.458272327965,78.7685589519651,2020-04-01
"17",2020,5,0,18.9825268817204,2.08427419354839,209.479838709677,82.5672043010753,2020-05-01
"18",2020,6,0,16.9659722222222,1.9375,218.525,84.8722222222222,2020-06-01
"19",2020,7,0.9,15.4645161290323,1.92916666666667,214.775537634409,85.2056451612903,2020-07-01
"20",2020,8,1.5,15.4358870967742,2.20040322580645,217.853494623656,84.8602150537634,2020-08-01
"21",2020,9,1.2,15.699860724234,2.35076495132128,212.532684283727,85.1476323119777,2020-09-01
"22",2020,10,0.4,16.9076612903226,2.44220430107527,211.916666666667,84.2674731182796,2020-10-01
"23",2020,11,0.1,17.8746164574616,2.28926080892608,213.503486750349,81.3919107391911,2020-11-01
"24",2020,12,0.4,19.7852702702703,0.872432432432432,215.486486486486,83.027027027027,2020-12-01
"25",2021,1,0.2,21.6060483870968,0.0163978494623656,213.10752688172,80.0631720430108,2021-01-01
"26",2021,2,0,22.369494047619,0.94077380952381,213.815476190476,76.7425595238095,2021-02-01
"27",2021,3,0,22.9305107526882,2.16344086021505,210.530913978495,76.6639784946236,2021-03-01
"28",2021,4,0,19.9326388888889,2.13194444444444,212.522222222222,82.4638888888889,2021-04-01
"29",2021,5,0.5,17.7229838709677,1.8260752688172,218.647849462366,86.9099462365591,2021-05-01
"30",2021,6,1.2,17.2286111111111,1.8025,213.441666666667,86.1666666666667,2021-06-01
"31",2021,7,1.6,16.2351906158358,1.94398826979472,213.475073313783,86.5234604105572,2021-07-01
"32",2021,8,2.4,15.5110363391655,2.21386271870794,213.757738896366,87.6837146702557,2021-08-01
"33",2021,9,0.2,15.1384722222222,2.11597222222222,212.623611111111,88.0083333333333,2021-09-01
"34",2021,10,0.3,15.8594086021505,2.53548387096774,211.782258064516,85.8548387096774,2021-10-01
"35",2021,11,0.2,17.6815277777778,2.52726008344924,209.695410292072,83.5535465924896,2021-11-01
"36",2021,12,0.3,19.547311827957,2.55913978494624,212.932795698925,81.8814516129032,2021-12-01
