"","year","month","Precipitation_(mm/h)","Temperature_(C)","Wind_Speed_m/s","Wind_Direction_Degrees","Relative_Humidity_(%)","Date"
"1",2019,1,NA,NA,NA,NA,NA,NA
"2",2019,2,NA,NA,NA,NA,NA,NA
"3",2019,3,0.8,24.4795698924731,1.73363363363363,199.807807807808,68.6370967741936,2019-03-01
"4",2019,4,0,22.5155913978495,1.93236994219653,197.832369942197,76.6344086021505,2019-04-01
"5",2019,5,NA,NA,NA,NA,NA,NA
"6",2019,6,0.2,15.9089068825911,1.41244444444444,210.728888888889,87.9352226720648,2019-06-01
"7",2019,7,0.1,15.0082210242588,1.4221906116643,207.159317211949,90.8975741239892,2019-07-01
"8",2019,8,0.2,14.7504132231405,1.44867256637168,208.610619469027,88.6046831955923,2019-08-01
"9",2019,9,2,15.6695410292072,1.72273381294964,210.179856115108,87.3018080667594,2019-09-01
"10",2019,10,0,16.6567204301075,1.74466571834993,209.684210526316,83.2755376344086,2019-10-01
"11",2019,11,0,18.8926388888889,1.99957020057307,204.233524355301,81.2541666666667,2019-11-01
"12",2019,12,0,20.9304993252362,1.80085348506401,198.580369843528,79.9163292847503,2019-12-01
"13",2020,1,0.2,23.0480484522207,1.99193302891933,202.905631659056,77.9744279946164,2020-01-01
"14",2020,2,0.8,24.4589020771513,NA,NA,75.0059347181009,2020-02-01
"15",2020,3,1.6,25.0385752688172,NA,NA,69.4005376344086,2020-03-01
"16",2020,4,0,23.0613351877608,NA,NA,71.6787204450626,2020-04-01
"17",2020,5,0,19.7034946236559,NA,NA,78.4650537634409,2020-05-01
"18",2020,6,0,16.8880555555556,NA,NA,84.0694444444444,2020-06-01
"19",2020,7,0,15.4724462365591,NA,NA,84.3319892473118,2020-07-01
"20",2020,8,0,15.4372812920592,NA,NA,84.0901749663526,2020-08-01
"21",2020,9,0.1,16.0602777777778,NA,NA,82.8166666666667,2020-09-01
"22",2020,10,0,17.6462365591398,NA,NA,80.4180107526882,2020-10-01
"23",2020,11,0.4,18.0608974358974,NA,NA,78.6923076923077,2020-11-01
"24",2020,12,NA,NA,NA,NA,NA,NA
"25",2021,1,NA,NA,NA,NA,NA,NA
"26",2021,2,NA,NA,NA,NA,NA,NA
"27",2021,3,NA,NA,NA,NA,NA,NA
"28",2021,4,0,21.17,NA,NA,71.5,2021-04-01
"29",2021,5,0.3,18.3422043010753,NA,NA,82.4462365591398,2021-05-01
"30",2021,6,0.7,16.7305832147937,NA,NA,87.3556187766714,2021-06-01
"31",2021,7,0.6,15.8731523378582,NA,NA,86,2021-07-01
"32",2021,8,0,15.4924016282225,1.45149359886202,185.853485064011,86.4586160108548,2021-08-01
"33",2021,9,0,15.7358003442341,1.4451724137931,191.362068965517,83.4509466437177,2021-09-01
"34",2021,10,0,16.1384615384615,1.59450549450549,188.974358974359,83.3296703296703,2021-10-01
"35",2021,11,0,17.8870813397129,1.65614035087719,194.826156299841,80.7129186602871,2021-11-01
"36",2021,12,0,19.7949659863946,1.63823129251701,184.307482993197,78.2272108843537,2021-12-01
"37",2022,1,0,22.7716234652115,1.64478021978022,186.526098901099,71.3929058663029,2022-01-01
"38",2022,2,78.3,23.7306547619048,1.47004538577912,190.03328290469,65.0461309523809,2022-02-01
"39",2022,3,0,24.0858870967742,1.33455782312925,186.149659863946,63.0712365591398,2022-03-01
"40",2022,4,0,20.822496371553,1.36207906295754,186.88140556369,71.5820029027576,2022-04-01
"41",2022,5,0,17.7548536209553,1.37901234567901,195.996913580247,77.7534668721109,2022-05-01
"42",2022,6,0,15.9442879499218,1.43527559055118,191.595275590551,80.9890453834116,2022-06-01
"43",2022,7,0,14.9340675477239,1.43431516936672,195.839469808542,84.2187958883994,2022-07-01
"44",2022,8,0,14.6783149171271,1.40470262793914,193.272475795297,85.2223756906077,2022-08-01
"45",2022,9,0,15.0308056872038,1.5478672985782,190.791469194313,82.6145339652449,2022-09-01
"46",2022,10,0.8,15.7195290858726,1.60083217753121,181.791955617198,80.1232686980609,2022-10-01
"47",2022,11,0.3,18.1754166666667,1.54735376044568,165.974930362117,77.0333333333333,2022-11-01
"48",2022,12,0,21.2934131736527,1.58930722891566,167.609939759036,73.7170658682635,2022-12-01
"49",2023,1,0.1,23.3504032258065,1.39405405405405,165.821621621622,66.6868279569892,2023-01-01
"50",2023,2,76.6,25.1824367088608,1.60015873015873,163.953968253968,69.004746835443,2023-02-01
"51",2023,3,2.7,25.5604006163328,1.44068322981366,163.015527950311,66.5670261941448,2023-03-01
"52",2023,4,0,24.7328080229226,1.71325648414986,159.076368876081,72.1275071633238,2023-04-01
"53",2023,5,0.3,20.9822580645161,1.45943396226415,159.481132075472,81.8064516129032,2023-05-01
"54",2023,6,0,20.19625,1.51005586592179,161.939944134078,84.7625,2023-06-01
"55",2023,7,0,19.5964383561644,1.49354395604396,161.385989010989,86.4465753424657,2023-07-01
"56",2023,8,0.5,19.3056451612903,1.51686909581646,161.529014844804,87.4045698924731,2023-08-01
"57",2023,9,0.7,18.1649222065064,1.51985815602837,167.001418439716,95,2023-09-01
"58",2023,10,0,18.9434724091521,1.58798920377868,169.763832658569,92.8277254374159,2023-10-01
"59",2023,11,0.5,19.6361111111111,1.71916666666667,176.484722222222,88.2486111111111,2023-11-01
"60",2023,12,0.1,21.4361227336123,1.73314685314685,167.556643356643,83.6959553695955,2023-12-01
